KdBar,Barcode,Nmbar,KdKel,NmKel,HBeli,HPokok,HJual,markup,StAwal,StMasuk,StKeluar
'8998127912370,'8998127912370,DUNHILL WHITE,RK,ROKOK,34000,34000,36000,5.88235,20,137,857
'8998127912363,9.00E+12,DUNHILL HITAM,RK,ROKOK,27500,27500,30000,9.09091,20,83,658
'76239878,'76239878,MARLBORO GOLD,RK,ROKOK,46500,46500,50000,7.52688,50,1221,1569
'76164217,'76164217,MARLBORO MERAH,RK,ROKOK,46500,46500,50000,7.52688,50,675,1013
'8997018460150,'8997018460150,MARLBORO ICE BURST,RK,ROKOK,46000,46000,50000,8.69565,20,267,322
'8999909982000,'8999909982000,SAMPOERNA MILD 12,RK,ROKOK,5,5,27000,99999.99999,20,308,429
'8999909096004,'8999909096004,SAMPOERNA MILD,RK,ROKOK,33000,33000,36000,9.09091,50,546,958
'8999909000650,'8999909000650,SAMPOERNA MENTHOL BURST,RK,ROKOK,33000,33000,36000,9.09091,15,64,94
'8886008101053,'8886008101053,AIR AQUA 500 ML,AIR,AIR,1950,1950,5000,156.41026,150,2868,2789
'8992752091127,'8992752091127,AIR AQUA 750 ML,AIR,AIR,5500,5500,7500,0,30,0,17
'C,'C,CEMILAN,C,CEMILAN,700,700,1000,42.85714,9,4127,32437
'WSP-LCH,'WSP-LCH,WIJA SOJU SPARKLING LYCHEE,ALC,ALCOHOL,20500,20500,25000,21.95122,5,12,1
'8993268342024,'8993268342024,AIR CHEERS ALKALINE 500ML,AIR,AIR,1745,1755.1,5000,186.53295,50,96,114
'8992752011033,'8992752011033,AIR VIT 500ML,AIR,AIR,1500,1161.29,5000,233.33333,50,24,43
'8886008101091,'8886008101091,AIR AQUA 1500ML,AIR,AIR,4400,4400,8000,81.81818,200,972,2483
'8997206580387,'8997206580387,BEER BINTANG KECIL 330ML,BEER,BEER,18417,18417,23000,24.88462,500,720,1618
'8997206580400,'8997206580400,BEER BINTANG BESAR 720ML,BEER,BEER,33000,33000,38000,15.15152,300,496,1058
'4033100066726,'4033100066726,CAMEL PURPLE,RK,ROKOK,27000,27000,30000,11.11111,20,141,192
'42139447,'42139447,CAMEL WHITE,RK,ROKOK,27000,27000,30000,11.11111,20,277,388
'8998989110129,'8998989110129,GUDANG GARAM SURYA 12,RK,ROKOK,24200,24200,27000,11.57025,20,671,1169
'8998989110167,'8998989110167,GUDANG GARAM SURYA 16,RK,ROKOK,33150,33150,36000,8.59729,20,182,331
'8992761111137,'8992761111137,SCHWEPPES TONIC WATER,BTL,MINUMAN,5167,5167,8000,54.82872,50,59,96
'8992761111151,'8992761111151,SCHWEPPES JAHE,BTL,MINUMAN,4800,4800,8000,66.66667,30,24,126
'8992761111144,'8992761111144,SCHWEPPES AIR SODA,BTL,MINUMAN,4800,4800,11000,0,30,0,41
'8997206580493,'8997206580493,BEER BINTANG RADLER 330 ML,BEER,BEER,18333,18333,23000,25.45683,100,36,155
'8997206580981,'8997206580981,BEER BINTANG RADLER ORG 330ML,BEER,BEER,14925,14925,25000,67.50419,100,12,106
'8996001354124,'8996001354124,BENG-BENG 20G,C,CEMILAN,1764,1764,2500,41.72336,113,950,997
'8996001600146,'8996001600146,TEH PUCUK 350 ML,BTL,MINUMAN,2625,2625,5000,90.47619,24,731,724
'8992761166038,'8992761166038,MINUTE MAID PULPY ORANGE,BTL,MINUMAN,4300,4300,7000,62.7907,24,182,484
'8998866500708,'8998866500708,FLORIDINA,BTL,MINUMAN,2750,2750,5000,81.81818,24,130,532
'089686611618,'089686611618,QTELA SINGKONG 60G,SNK,SNACK,6200,6200,8000,29.03226,48,26,81
'089686598476,'089686598476,CHITATO AYAM 68 G,SNK,SNACK,10000,10000,12000,37.14286,48,23,185
'089686598056,'089686598056,CHITATO SAPI PANGGANG 68G,SNK,SNACK,9500,9500,12000,26.31579,48,39,208
'8998866201728,'8998866201728,POTABE RASA TELUR ASIN,SNK,SNACK,9500,9500,12000,0,24,0,23
'8998866201490,'8998866201490,POTABE RUMPUT LAUT PANGGANG,SNK,SNACK,7900,7900,10000,21.95122,24,15,56
'8998866202053,'8998866202053,POTABEE AYAM BAKAR 68G,SNK,SNACK,8000,8000,10000,25,24,0,28
'147,'L238,YAKULT 1 PCS,BTL,MINUMAN,1800,1800,2500,38.88889,8,75,1537
'089686060102,'089686060102,POP MIE GORENG PEDES GLEDEK,MIE,MIE,5050,5050,7000,38.61386,20,57,521
'089686060362,'089686060362,POP MIE RASA SOTO AYAM,MIE,MIE,4375,4375,7000,60,15,28,164
'8998866200820,'8998866200820,MIE SEDAP CUP AYAM BAWANG T,MIE,MIE,4250,4250,7000,64.70588,20,45,227
'089686067002,'089686067002,POP MIE KUAH PEDES DOWER,MIE,MIE,5050,5050,7000,38.61386,20,23,335
'8998866200844,'8998866200844,MIE SEDAP CUP KARI AYAM,MIE,MIE,4500,4625,7000,47.36842,10,83,99
'8998866200813,'8998866200813,MIE SEDAP CUP GORENG,MIE,MIE,4500,4500,7000,55.55556,10,120,142
'8992718853462,'8992718853462,NISSIN CUP NOODLES,MIE,MIE,5400,5400,8000,0,3,0,100
'GA,'GA,GELAS + AIR,AIR,AIR,890,890,2000,0,6,100,1797
'110,'110,CHOK-CHOK CHOCOLATE,CKL,COKELAT,25000,25000,40000,0,30,0,89
